generator,ways,hit_ratio,miss_ratio,writebacks,reads,writes
memGen1,1,0.000000,1.000000,300776,699224,300776
memGen1,2,0.999998,0.000002,0,699224,300776
memGen1,4,0.999998,0.000002,0,699224,300776
memGen1,8,0.999998,0.000002,0,699224,300776
memGen1,16,0.999998,0.000002,0,699224,300776
memGen2,1,0.000972,0.999028,499036,500179,499821
memGen2,2,0.000996,0.999004,499048,500179,499821
memGen2,4,0.000983,0.999017,499055,500179,499821
memGen2,8,0.000969,0.999031,499056,500179,499821
memGen2,16,0.000983,0.999017,499043,500179,499821
memGen3,1,0.000000,1.000000,300776,699224,300776
memGen3,2,0.007835,0.992165,300083,699224,300776
memGen3,4,0.176736,0.823264,282465,699224,300776
memGen3,8,0.999992,0.000008,0,699224,300776
memGen3,16,0.999992,0.000008,0,699224,300776
memGen4,1,0.000000,1.000000,300770,699224,300776
memGen4,2,0.142802,0.857198,286598,699224,300776
memGen4,4,0.999936,0.000064,0,699224,300776
memGen4,8,0.999936,0.000064,0,699224,300776
memGen4,16,0.999936,0.000064,0,699224,300776
memGen5,1,0.937500,0.062500,50189,899617,100383
memGen5,2,0.937500,0.062500,50199,899617,100383
memGen5,4,0.937500,0.062500,50204,899617,100383
memGen5,8,0.937500,0.062500,50200,899617,100383
memGen5,16,0.937500,0.062500,50198,899617,100383
memGen6,1,0.999921,0.000079,0,499569,500431
memGen6,2,0.999921,0.000079,0,499569,500431
memGen6,4,0.999921,0.000079,0,499569,500431
memGen6,8,0.999921,0.000079,0,499569,500431
memGen6,16,0.999921,0.000079,0,499569,500431
